OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
0008222689,200008222689,"Linderoth, Hanna",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Grafisk design och visuell kommunikation,74120,Göteborg,Västra Götaland,Göteborg,ARVESGÄRDE 28  LGH 1103,417 44,GÖTEBORG,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0103284873,200103284873,"Högström, William",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Skogsförvaltning,02101,Jokkmokk,Norrbotten,Luleå/Boden,ÄLVSBO 13,962 97,JOKKMOKK,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0104077482,200104077482,"Nilsson, Thea",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Övrig fritids- och nöjesverksamhet,93290,Linköping,Östergötland,Linköping,GUNNORP GATAN 2,583 93,VIKINGSTAD,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0105011472,200105011472,"Duhlow, Abdirizak",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,"Passagerartrafik på beställning, fordon med förare",49330,Eskilstuna,Södermanland,Eskilstuna,HÖGBOVÄGEN 2  LGH 1403,632 31,ESKILSTUNA,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0105070833,200105070833,"Nygren, Oliver",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Dataprogrammering,62100,Göteborg,Västra Götaland,Göteborg,SISJÖBÄCKENS VÄG 22  LGH 1607,436 38,ASKIM,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0105095368,200105095368,"Möller, Ebba",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Tillverkning av trikåvaror,14100,Värmdö,Stockholm,Stockholm/Södertälje,BRITT-LOUISE SUNDELLS GATA 4  LGH 1004,134 50,GUSTAVSBERG,,,Har aldrig varit registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0106106198,200106106198,"Nguyen, Khoi Nguyen",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Fotoverksamhet,74200,Stockholm,Stockholm,Stockholm/Södertälje,FORSKARBACKEN 6  LGH 1304,114 16,STOCKHOLM,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0106186794,200106186794,"Johansson, William",,Fysiska personer,Ej aktiebolag,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Kalmar,Kalmar,Kalmar/Nybro,SKRÄDDARETORPSVÄGEN 19 C LGH 1101,393 53,KALMAR,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Är registrerad som privatarbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0106247315,200106247315,"Syvyi, Severyn",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Måleriarbeten,43341,Haninge,Stockholm,Stockholm/Södertälje,BREDSUNDET 5  LGH 1404,136 58,VEGA,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0109202150,200109202150,"Björkman, Hugo",,Fysiska personer,Ej aktiebolag,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Töreboda,Västra Götaland,Mariestad,NORRA TORGGATAN 14  LGH 1403,545 30,TÖREBODA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Är registrerad som privatarbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0109226696,200109226696,"Brandevik, Oskar",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Detaljhandel via internet eller postorder med brett sortiment,47123,Tjörn,Västra Götaland,Göteborg,NÖTSÄTERSVÄGEN 39,471 32,SKÄRHAMN,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0109270843,200109270843,"Sanderoth, Minna",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Scenkonst,90200,Kungsbacka,Halland,Göteborg,STORMGATAN 32  LGH 1202,434 34,KUNGSBACKA,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0110040698,200110040698,"Hagberg, Petter",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Reklambyråverksamhet,73111,Stockholm,Stockholm,Stockholm/Södertälje,OLAUS PETRIGATAN 10  LGH 1005,115 34,STOCKHOLM,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0110110202,200110110202,"Ahmad, Rula",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Skönhetsvård och andra skönhetsbehandlingar,96220,Nässjö,Jönköping,Eksjö/Nässjö/Vetlanda,TRANBÄRSSTIGEN 98,571 37,NÄSSJÖ,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0111011656,200111011656,"Abdulla, Jonas",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Konsultverksamhet avseende företags organisation,70200,Umeå,Västerbotten,Umeå,SPANNGRÄND 23,906 28,UMEÅ,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0111203774,200111203774,"Karlberg, Lukas",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Reklambyråverksamhet,73111,Södertälje,Stockholm,Stockholm/Södertälje,FORSKARGATAN 1  LGH 1002,151 36,SÖDERTÄLJE,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0201236742,200201236742,"Nystedt, Lisa",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Annan sportverksamhet,93199,Uppsala,Uppsala,Uppsala,LUTHAGSESPLANADEN 10 B LGH 1203,752 25,UPPSALA,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0202194460,200202194460,"Andersson, Hanna",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Bildkonst,90120,Danderyd,Stockholm,Stockholm/Södertälje,KLOSTERVÄGEN 7 B LGH 1101,182 76,STOCKSUND,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0203031158,200203031158,"Karlsson, Henric",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Detaljhandel via internet eller postorder med kläder,47712,Umeå,Västerbotten,Umeå,TVISTEVÄGEN 43  LGH 1421,907 29,UMEÅ,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0208241695,200208241695,"Eide, Jonathan",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Tillverkning av köksmöbler,31003,Göteborg,Västra Götaland,Göteborg,GAMLA CERESGATAN 7  LGH 1106,417 57,GÖTEBORG,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0210023313,200210023313,"Alhagi, Khaled",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Restaurangverksamhet,56110,Malmö,Skåne,Malmö/Lund/Trelleborg,HÅRDS VÄG 109  LGH 1203,213 65,MALMÖ,,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0210194973,200210194973,"Esst, Maximilian Elias",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Dataprogrammering,62100,Skövde,Västra Götaland,Skövde,NORRA TRÄNGALLÉN 7  LGH 1208,549 56,SKÖVDE,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0211033311,200211033311,"Vlaev, Hristo Nikolaev",Dilys,Fysiska personer,Ej aktiebolag,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Norrköping,Östergötland,Norrköping,GÄRDSMYGSVÄGEN 1,605 95,NORRKÖPING,hristo.vlaev@dilys.bg,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0212033559,200212033559,"Westling, Sebastian",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Sport- och fritidsutbildning,85510,Stockholm,Stockholm,Stockholm/Södertälje,METARGATAN 20  LGH 1102,116 66,STOCKHOLM,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0212140487,200212140487,"Alsabe, Lina",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Detaljhandel med personbilar och lätta motorfordon,47811,Östersund,Jämtland,Östersund,STUGUVÄGEN 10  LGH 1001,831 36,ÖSTERSUND,,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0212174148,200212174148,"Babil, Rebecca",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Detaljhandel via internet eller postorder med brett sortiment,47123,Jönköping,Jönköping,Jönköping,SIKVÄGEN 15,561 36,HUSKVARNA,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0301029187,200301029187,"Adam, Zahara Ahmed Hussein",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Detaljhandel med drycker,47250,Göteborg,Västra Götaland,Göteborg,KOMETGATAN 17  LGH 1003,415 63,GÖTEBORG,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0302034335,200302034335,"Karlsson, Fabian",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Allmän service och reparation av motorfordon utom motorcyklar,95311,Eskilstuna,Södermanland,Eskilstuna,BÄRSTA LILLA HUSET,635 35,STORA SUNDBY,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0302103189,200302103189,"Pomyayab Ravald, Zoe",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Reklambyråverksamhet,73111,Lund,Skåne,Malmö/Lund/Trelleborg,STORA SÖDERGATAN 41 G LGH 1001,222 23,LUND,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0304289119,200304289119,"Packalén Jarnryd, Emil",STO Tak & Fasad,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Rengöring av byggnader,81221,Tjörn,Västra Götaland,Göteborg,NEDRE TÅDÅS 15,471 92,KLÖVEDAL,info@stotakfasad.se,0760067071,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0305152811,200305152811,"Hüttenrauch, Mattis",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Dataprogrammering,62100,Linköping,Östergötland,Linköping,BJÖRNKÄRRSGATAN 12 B LGH 1103,584 36,LINKÖPING,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0307031518,200307031518,"Lorenc, Jakub",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,"Vägtransport, godstrafik",49410,Stockholm,Stockholm,Stockholm/Södertälje,OSMUNDSVÄGEN 31  LGH 0902,168 68,BROMMA,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0307085845,200307085845,"Elezovic, Diba",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Detaljhandel via internet eller postorder med brett sortiment,47123,Norrköping,Östergötland,Norrköping,ALBREKTSVÄGEN 115 B LGH 1003,603 53,NORRKÖPING,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0307141416,200307141416,"Bbaale, Edwin",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Reklambyråverksamhet,73111,Alvesta,Kronoberg,Växjö,SOCKENVÄGEN 9 H,342 50,VISLANDA,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0308056118,200308056118,"Ingström, Max",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Skogsförvaltning,02101,Vimmerby,Kalmar,Hultsfred/Vimmerby,LIDHULT 410,598 95,VIMMERBY,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0308061076,200308061076,"Rosenkvist, Martin",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Reklambyråverksamhet,73111,Norrtälje,Stockholm,Norrtälje,TITANVÄGEN 41,761 64,NORRTÄLJE,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0308278308,200308278308,"Kulo Häll, Källa",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Litterärt skapande och musikkomposition,90110,Strängnäs,Södermanland,Eskilstuna,TIMMERVÄGEN 5 A,645 44,STRÄNGNÄS,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0310087234,200310087234,"Ellnebrand Palm, Marcus",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Cateringverksamhet vid enskilda evenemang,56210,Lund,Skåne,Malmö/Lund/Trelleborg,TOMEGAPSGATAN 8 A LGH 1209,223 50,LUND,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0311292551,200311292551,"Nystrand, Jonathan",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Reklambyråverksamhet,73111,Stockholm,Stockholm,Stockholm/Södertälje,KISTAÄNGSGATAN 15  LGH 1304,164 56,KISTA,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0312073042,200312073042,"Buraale, Nasrin",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Uthyrning och leasing av fritids- och sportutrustning,77210,Norrköping,Östergötland,Norrköping,S:T PERSGATAN 131 B LGH 1402,602 30,NORRKÖPING,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0312192412,200312192412,"Slette, Viktor Erik",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Detaljhandel via internet eller postorder med kläder,47712,Stockholm,Stockholm,Stockholm/Södertälje,ALMLÖFSGATAN 3  LGH 1304,114 51,STOCKHOLM,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0312205206,200312205206,"Mohamed, Farhiya Hassan",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,"Detaljhandel via internet eller postorder med ur, guldsmedsvaror och smycken",47772,Älvsbyn,Norrbotten,Piteå,STORGATAN 10 C LGH 1103,942 31,ÄLVSBYN,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0312245285,200312245285,"Alahmed, Jana",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Förmedling avseende icke-specialiserad detaljhandel,47910,Västerås,Västmanland,Västerås,ERIKSBORGSGATAN 7  LGH 1216,722 18,VÄSTERÅS,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0402021737,200402021737,"Hall, Oskar",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Bildkonst,90120,Kommunkod saknas,Län okänd,A-region okänd,"7G/189 HOBSON STREET AUCKLAND CBD, 1010 AUCKLAND",,UTLANDET,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Utländsk postadress,"Tar emot reklam, ej telefonnummerspärrat"
0402084545,200402084545,"Ceputyté, Andréja",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Skönhetsvård och andra skönhetsbehandlingar,96220,Hylte,Halland,Halmstad,ÅMOTSVÄGEN 11,314 95,KINNARED,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0402110092,200402110092,"Lindqvist, Vilgot",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Stockholm,Stockholm,Stockholm/Södertälje,FRÄMLINGSVÄGEN 22 B LGH 1103,126 48,HÄGERSTEN,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
